"ID","SITE_ID","SITE_NO","SITE_NAME","DATE_FROM","DATE_TO","COST_VARIANT_AMOUNT","SALARY_OT_AMOUNT","EXPENSE_COST","INVOICE_PRICE","CREATED_AT","CREATED_BY"
42,7,"SLIC05","SRI LANKA INSURANCE","2026-04-01","2026-04-20",0,238565,0,83985,"2026-04-20 12:14:03",5
61,27,"NDBN025","NDB BANK NAWAM MW","2026-04-01","2026-04-23",0,193080,0,55552.4,"2026-04-23 11:12:54",5
62,10,"JWN008","JHON WILSON","2026-04-01","2026-04-23",0,30000,0,38127.75,"2026-04-23 11:15:36",5
83,38,"AMI036","AMANA INSURANCE","2026-04-01","2026-04-24",0,154291.81,0,10935,"2026-04-24 12:10:49",5
84,8,"AMN006","AMANA BANK","2026-04-01","2026-04-24",57167,38959.5,0,187131.7,"2026-04-24 12:11:22",5
85,14,"LGS012","LAUGFS HOLDINGS","2026-04-01","2026-04-24",1500,215837.5,0,163400.5,"2026-04-24 12:12:15",5
86,3,"NWL001","Nawaloka Hospitals","2026-04-01","2026-04-24",97667,128583.5,0,281156.4,"2026-04-24 12:12:37",5
